tenure_months,monthly_charges,total_charges,num_products,support_calls,payment_delays,contract_type,internet_service,online_security,tech_support,paperless_billing,gender,senior_citizen,partner,dependents,churn
16,55.05,3600.71,4,9,1,Two year,Fiber optic,Yes,Yes,No,Male,0,Yes,No,0
8,57.25,3071.9,2,7,1,Month-to-month,Fiber optic,Yes,No,Yes,Female,0,Yes,No,1
4,26.87,3001.99,3,5,4,Month-to-month,DSL,Yes,No,No,Male,0,Yes,No,1
4,56.96,4254.98,3,8,1,Month-to-month,No,No,No,Yes,Male,0,Yes,No,1
56,66.42,6489.52,4,5,4,Month-to-month,Fiber optic,Yes,No,No,Female,0,Yes,Yes,1
25,92.27,2957.97,4,6,2,Month-to-month,DSL,No,Yes,Yes,Male,0,Yes,No,0
67,85.67,4241.61,4,6,2,Month-to-month,Fiber optic,Yes,Yes,No,Male,0,Yes,No,1
67,90.88,5398.75,3,8,1,Two year,DSL,No,No,Yes,Female,0,Yes,Yes,0
27,20.84,2228.57,2,7,2,Month-to-month,Fiber optic,No,Yes,No,Female,0,Yes,No,0
32,41.77,2292.43,3,0,3,Two year,Fiber optic,No,Yes,Yes,Female,0,No,No,0
50,86.17,7473.96,4,3,3,Month-to-month,DSL,Yes,Yes,No,Female,0,Yes,No,0
61,68.4,5815.92,4,6,3,One year,No,Yes,No,Yes,Male,0,Yes,No,0
51,20.53,4659.77,2,7,2,Month-to-month,Fiber optic,No,No,No,Male,1,Yes,No,0
19,100.45,5216.99,1,6,3,One year,DSL,No,No,No,Male,0,No,Yes,0
21,97.28,331.47,1,2,4,Month-to-month,Fiber optic,Yes,Yes,No,Male,0,No,No,1
5,74.84,4983.01,3,3,0,Month-to-month,DSL,Yes,No,No,Male,0,No,Yes,0
42,26.65,4125.12,1,6,1,Two year,No,Yes,No,Yes,Female,0,Yes,Yes,0
61,96.65,4411.42,1,7,4,Month-to-month,DSL,No,Yes,Yes,Male,0,No,Yes,1
22,78.37,2939.45,3,6,3,Month-to-month,Fiber optic,No,No,Yes,Male,0,Yes,No,0
21,98.2,743.64,4,5,0,Month-to-month,DSL,No,No,Yes,Female,0,Yes,No,1
70,95.17,1627.38,1,8,1,Two year,DSL,No,No,Yes,Male,0,No,No,0
1,100.3,7610.88,4,8,4,Month-to-month,Fiber optic,No,Yes,Yes,Male,0,Yes,No,1
5,71.8,3328.73,3,6,1,One year,Fiber optic,Yes,No,No,Female,0,No,Yes,1
12,34.03,3786.8,4,7,2,Month-to-month,Fiber optic,No,Yes,Yes,Female,0,No,No,0
46,87.12,516.41,4,5,3,Month-to-month,Fiber optic,No,Yes,Yes,Male,1,No,No,0
34,82.05,396.77,3,0,4,Two year,Fiber optic,Yes,Yes,Yes,Female,0,Yes,Yes,1
49,94.23,5765.73,4,0,4,Month-to-month,DSL,Yes,Yes,No,Male,0,Yes,No,0
45,36.99,4350.95,1,5,0,One year,DSL,Yes,Yes,Yes,Male,0,Yes,Yes,0
27,39.5,4118.78,1,1,0,Month-to-month,Fiber optic,No,Yes,Yes,Female,1,Yes,No,0
26,109.04,2020.68,1,7,0,Month-to-month,Fiber optic,Yes,No,No,Male,0,No,No,1
47,95.0,5983.53,1,0,1,Month-to-month,No,No,No,Yes,Female,1,Yes,No,1
56,110.82,1429.07,4,1,3,One year,DSL,Yes,Yes,No,Female,0,No,Yes,1
63,95.87,1600.48,1,7,1,One year,Fiber optic,No,Yes,No,Male,0,Yes,No,0
48,79.72,3739.63,4,5,3,One year,DSL,No,No,Yes,Male,0,No,No,0
61,85.41,2361.61,2,9,4,Month-to-month,No,Yes,No,No,Female,0,No,No,1
26,108.91,2054.96,4,1,1,Month-to-month,No,No,No,No,Female,0,Yes,No,0
36,77.88,5197.38,1,1,1,Month-to-month,DSL,Yes,Yes,Yes,Female,0,No,No,1
1,83.24,5242.68,2,6,1,One year,Fiber optic,No,Yes,Yes,Female,0,Yes,Yes,1
8,35.65,6613.68,3,4,2,Two year,Fiber optic,No,No,No,Male,0,Yes,Yes,0
52,67.39,3399.9,4,4,3,Month-to-month,DSL,No,Yes,No,Female,0,No,No,0
47,91.64,677.37,1,7,3,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,0,Yes,No,1
56,47.09,2261.96,1,6,1,Month-to-month,Fiber optic,No,Yes,No,Female,0,No,Yes,0
14,40.23,7842.04,1,8,2,Two year,DSL,Yes,Yes,Yes,Female,0,Yes,Yes,0
28,51.38,4810.44,3,3,1,Two year,Fiber optic,No,No,No,Male,0,No,Yes,1
2,44.15,5706.92,2,9,3,Month-to-month,DSL,No,Yes,No,Male,0,No,No,1
26,41.49,158.13,2,3,4,Month-to-month,Fiber optic,Yes,Yes,Yes,Female,0,Yes,No,1
14,62.49,4193.83,1,1,2,Month-to-month,No,Yes,Yes,No,Male,0,Yes,No,0
59,110.78,396.48,4,2,2,One year,Fiber optic,No,Yes,No,Male,0,No,No,1
56,70.71,4596.92,1,0,1,One year,DSL,No,No,Yes,Male,0,Yes,No,0
7,38.79,7374.09,1,0,4,Month-to-month,DSL,No,Yes,No,Male,0,No,No,0
3,27.7,7750.51,4,6,3,Two year,Fiber optic,No,Yes,Yes,Female,0,Yes,Yes,0
23,89.62,4370.37,1,4,0,Month-to-month,DSL,No,No,No,Male,1,No,Yes,0
18,58.28,3719.82,3,2,3,Month-to-month,Fiber optic,No,Yes,No,Female,0,Yes,No,0
38,102.18,7565.64,1,6,3,One year,DSL,Yes,Yes,Yes,Female,0,No,No,0
15,85.95,5421.52,3,1,4,Month-to-month,Fiber optic,No,Yes,No,Female,0,Yes,No,1
64,99.62,612.7,1,2,2,Two year,No,Yes,Yes,Yes,Female,0,Yes,No,0
28,47.19,3779.23,2,0,3,Month-to-month,No,No,No,No,Male,0,No,Yes,0
39,89.24,1997.94,4,7,2,Month-to-month,DSL,No,No,Yes,Female,1,No,Yes,0
57,46.41,3811.45,2,1,4,One year,Fiber optic,Yes,No,Yes,Female,1,No,No,0
17,113.91,3698.18,1,6,4,Month-to-month,DSL,No,Yes,No,Male,0,No,No,0
44,83.64,4698.94,1,8,1,Month-to-month,Fiber optic,No,Yes,No,Male,0,No,No,1
25,52.45,2918.49,3,5,0,Two year,DSL,Yes,No,Yes,Male,0,No,No,0
17,46.95,1397.74,1,1,4,Month-to-month,Fiber optic,No,No,No,Female,0,Yes,Yes,0
13,39.09,4079.38,1,1,4,Month-to-month,Fiber optic,Yes,Yes,No,Male,1,Yes,No,0
25,89.46,6658.6,1,8,2,Two year,No,No,Yes,No,Female,0,No,Yes,1
68,41.87,5345.7,2,9,4,Month-to-month,Fiber optic,No,Yes,Yes,Female,0,Yes,No,1
10,79.53,2773.11,3,7,3,Month-to-month,Fiber optic,Yes,Yes,Yes,Female,0,No,No,1
67,46.46,7490.63,2,8,1,One year,No,Yes,Yes,Yes,Male,0,Yes,No,0
18,86.2,7306.44,3,3,1,Month-to-month,DSL,No,Yes,No,Female,0,No,No,0
34,101.49,1753.85,2,3,3,Two year,No,Yes,Yes,Yes,Female,0,No,No,1
8,97.8,411.4,1,1,4,Month-to-month,Fiber optic,Yes,Yes,No,Male,0,Yes,No,0
40,96.09,5956.34,2,9,0,One year,No,Yes,Yes,No,Female,0,No,No,0
42,38.77,6638.12,2,0,4,Month-to-month,DSL,No,Yes,Yes,Male,0,Yes,No,1
41,28.84,7746.13,3,9,1,Month-to-month,DSL,Yes,No,Yes,Male,0,Yes,No,0
6,89.89,7129.71,3,3,0,One year,Fiber optic,Yes,Yes,No,Male,0,Yes,No,1
52,56.83,4844.22,2,9,2,Month-to-month,No,Yes,Yes,No,Male,0,Yes,No,0
26,63.23,4287.41,3,9,2,One year,DSL,Yes,Yes,Yes,Male,0,Yes,No,0
64,23.11,319.94,3,7,4,Month-to-month,DSL,Yes,No,No,Male,0,Yes,No,1
59,45.96,2048.59,3,1,4,One year,DSL,No,Yes,Yes,Female,0,Yes,Yes,0
56,23.37,3730.96,4,7,0,Month-to-month,No,No,No,No,Male,0,Yes,Yes,1
59,107.92,5065.18,3,0,0,One year,Fiber optic,No,Yes,No,Female,0,Yes,No,0
70,44.34,4502.29,4,0,4,One year,DSL,No,No,Yes,Female,0,Yes,Yes,0
33,75.73,5966.82,4,3,1,Month-to-month,DSL,No,No,Yes,Female,0,No,No,0
53,23.9,2310.16,3,6,2,Month-to-month,Fiber optic,Yes,Yes,No,Female,1,Yes,No,0
22,86.68,4563.13,2,8,0,Month-to-month,DSL,Yes,No,Yes,Male,0,Yes,No,0
21,52.3,796.32,3,4,1,Month-to-month,Fiber optic,No,No,No,Female,0,No,No,0
70,109.79,3367.96,1,1,4,One year,Fiber optic,Yes,Yes,Yes,Male,0,No,No,0
70,108.81,6026.27,2,6,3,Month-to-month,Fiber optic,Yes,Yes,No,Female,0,No,No,1
4,52.53,5577.87,4,1,0,Two year,No,Yes,Yes,No,Male,1,No,Yes,0
62,110.1,7926.08,4,8,3,Month-to-month,Fiber optic,No,Yes,No,Male,1,Yes,No,1
62,119.62,2295.34,2,8,1,Two year,DSL,Yes,Yes,Yes,Female,0,Yes,Yes,1
24,102.54,4035.7,2,2,2,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,0,Yes,No,0
55,104.49,2703.29,3,7,1,Two year,DSL,No,No,No,Male,0,No,No,0
9,44.9,3580.76,4,3,2,Month-to-month,No,No,No,Yes,Male,0,No,No,1
3,77.67,6869.91,1,2,1,Month-to-month,DSL,Yes,Yes,No,Male,0,Yes,No,1
31,26.73,5505.25,3,0,0,Two year,No,Yes,Yes,No,Female,0,No,No,0
40,29.49,7071.29,2,4,0,Month-to-month,DSL,No,Yes,Yes,Female,0,Yes,No,0
36,119.89,1707.74,4,3,3,Month-to-month,DSL,No,Yes,Yes,Female,0,No,No,1
24,52.66,6999.55,2,0,1,One year,Fiber optic,Yes,No,Yes,Female,0,No,No,1
6,94.82,572.12,2,9,1,One year,No,Yes,No,Yes,Male,0,Yes,No,0
66,100.67,7119.93,2,7,3,Month-to-month,No,No,Yes,No,Female,0,Yes,No,1
4,105.8,2699.68,3,7,4,Month-to-month,DSL,Yes,No,No,Female,0,Yes,Yes,1
6,119.76,2585.24,1,7,1,One year,DSL,No,No,Yes,Male,0,No,Yes,0
51,44.15,4145.5,1,2,1,Month-to-month,Fiber optic,No,Yes,No,Male,0,No,No,0
62,24.04,7531.45,4,5,1,Two year,DSL,No,Yes,Yes,Female,0,Yes,No,0
57,61.12,477.47,2,6,4,One year,Fiber optic,Yes,No,Yes,Female,0,Yes,No,0
66,33.01,2882.62,1,8,0,One year,Fiber optic,Yes,Yes,Yes,Female,1,Yes,No,1
8,22.24,6866.92,2,4,3,Month-to-month,Fiber optic,No,Yes,No,Male,0,No,No,0
26,56.04,3228.83,4,8,4,Two year,Fiber optic,No,Yes,No,Female,0,No,Yes,0
51,98.37,1673.34,2,5,2,Month-to-month,Fiber optic,No,No,No,Male,1,Yes,No,1
45,76.62,3455.87,1,9,2,Two year,No,No,No,Yes,Male,0,Yes,No,0
44,51.28,3145.86,2,9,4,Month-to-month,DSL,Yes,No,Yes,Female,0,Yes,No,0
5,85.43,7331.79,1,9,4,One year,DSL,No,No,No,Male,0,No,Yes,0
70,43.2,6119.28,4,3,0,One year,Fiber optic,No,Yes,Yes,Male,0,No,No,0
26,21.44,4090.41,2,0,2,Month-to-month,DSL,No,Yes,Yes,Female,0,Yes,No,1
68,96.44,7908.13,1,0,3,Month-to-month,DSL,Yes,No,No,Male,0,No,No,0
19,82.37,3775.69,4,9,1,Month-to-month,No,No,No,Yes,Male,0,Yes,No,1
20,96.23,560.08,2,4,1,Month-to-month,Fiber optic,No,Yes,Yes,Male,0,Yes,Yes,1
12,23.89,2171.97,4,2,0,Month-to-month,Fiber optic,No,No,Yes,Female,0,Yes,No,0
47,103.71,3544.96,1,4,0,Month-to-month,Fiber optic,No,No,No,Male,0,No,Yes,0
1,81.95,1339.53,2,4,2,One year,DSL,No,No,No,Male,0,Yes,Yes,0
14,76.34,7585.76,2,0,3,One year,No,Yes,No,Yes,Male,0,Yes,No,0
64,82.46,6158.11,2,7,3,Month-to-month,DSL,Yes,No,Yes,Female,0,No,No,1
38,106.44,2219.47,4,4,4,One year,Fiber optic,Yes,No,Yes,Female,0,Yes,No,0
37,78.69,4767.36,4,4,0,Two year,Fiber optic,No,No,Yes,Female,0,Yes,No,0
11,78.1,5799.45,1,8,1,Month-to-month,Fiber optic,No,Yes,No,Female,0,Yes,No,1
3,119.07,7536.1,3,7,1,Month-to-month,Fiber optic,Yes,Yes,Yes,Female,0,Yes,No,1
33,95.67,7064.92,2,0,2,Month-to-month,No,No,Yes,Yes,Female,0,No,No,0
6,64.23,4170.02,2,2,1,One year,Fiber optic,Yes,No,No,Female,0,No,No,0
50,90.74,6219.76,1,6,3,One year,DSL,No,Yes,Yes,Male,1,Yes,Yes,0
10,58.92,4540.94,2,0,3,One year,Fiber optic,Yes,Yes,No,Male,0,No,No,0
5,42.89,4466.36,4,0,0,Month-to-month,No,Yes,Yes,Yes,Female,0,No,No,0
23,79.69,1006.46,4,4,2,Two year,Fiber optic,No,Yes,Yes,Female,0,No,No,0
10,112.82,1096.49,2,8,1,Month-to-month,Fiber optic,No,No,Yes,Female,0,No,No,1
44,112.91,4283.32,2,5,0,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,0,No,No,1
2,54.19,2224.01,4,9,4,Month-to-month,DSL,Yes,Yes,No,Male,0,No,No,1
13,72.77,266.19,2,1,4,Month-to-month,DSL,No,Yes,No,Male,0,No,Yes,0
40,41.16,5810.43,4,8,1,One year,No,Yes,Yes,Yes,Male,1,No,No,0
2,119.56,356.64,3,5,1,One year,Fiber optic,No,No,No,Female,0,Yes,Yes,0
65,118.11,4802.69,3,4,1,Two year,DSL,Yes,No,No,Male,0,Yes,Yes,0
63,84.95,4359.63,2,4,3,Month-to-month,No,No,Yes,Yes,Male,0,Yes,No,0
17,100.44,7753.64,2,2,1,Two year,Fiber optic,No,Yes,Yes,Male,0,Yes,No,1
9,91.51,3925.28,2,5,4,One year,Fiber optic,No,Yes,Yes,Female,0,Yes,Yes,1
15,79.32,602.45,4,3,1,Month-to-month,DSL,Yes,Yes,No,Female,1,Yes,No,1
24,25.33,4458.33,3,9,2,Two year,No,No,No,Yes,Female,1,Yes,No,0
38,65.48,6744.66,3,1,4,One year,Fiber optic,No,No,Yes,Male,0,Yes,Yes,0
35,87.48,7975.11,1,2,2,Month-to-month,Fiber optic,No,Yes,Yes,Male,0,No,No,1
49,87.75,3499.71,1,8,4,Two year,DSL,Yes,No,No,Male,0,Yes,No,1
69,57.31,2630.36,2,8,0,One year,DSL,No,No,No,Female,1,Yes,No,0
62,114.17,7262.56,4,5,4,One year,DSL,No,Yes,Yes,Female,1,No,No,0
60,36.74,1610.81,2,9,4,Two year,No,No,Yes,Yes,Male,0,No,No,1
50,70.04,4961.89,3,9,2,Month-to-month,DSL,No,No,No,Male,0,Yes,No,0
9,89.09,3305.14,2,8,2,One year,Fiber optic,No,No,Yes,Female,0,Yes,Yes,0
34,89.71,424.55,2,3,4,One year,DSL,Yes,No,Yes,Male,0,Yes,No,0
35,84.86,2843.58,3,4,4,Month-to-month,DSL,No,Yes,No,Male,1,No,No,1
1,47.53,2195.31,3,9,3,Month-to-month,DSL,No,Yes,No,Male,0,Yes,No,0
40,35.62,5520.12,3,5,0,One year,Fiber optic,Yes,Yes,Yes,Female,1,No,No,1
64,83.59,7595.44,3,8,0,Month-to-month,Fiber optic,Yes,Yes,Yes,Female,0,Yes,Yes,1
22,79.93,2217.57,1,4,1,One year,No,Yes,No,No,Female,0,No,Yes,0
60,37.94,6510.58,4,7,4,Two year,No,Yes,Yes,No,Female,0,No,No,0
64,90.51,537.34,4,0,4,Month-to-month,DSL,No,No,No,Female,0,No,No,0
11,65.52,4351.16,3,4,4,Month-to-month,No,Yes,No,No,Female,0,Yes,No,0
14,86.78,657.35,4,9,4,Month-to-month,Fiber optic,No,No,Yes,Female,0,Yes,No,1
60,103.74,7478.86,4,0,0,One year,No,Yes,No,No,Female,0,No,No,0
30,36.97,6154.18,4,9,2,Two year,DSL,Yes,Yes,Yes,Female,0,No,No,0
35,21.91,5297.8,4,5,3,Month-to-month,No,No,No,No,Male,0,No,No,0
37,97.91,6608.78,3,6,2,Month-to-month,DSL,Yes,No,No,Male,1,Yes,No,0
5,80.97,5215.41,2,4,2,One year,DSL,Yes,Yes,Yes,Male,0,No,Yes,0
26,89.96,7754.66,2,0,0,One year,DSL,No,No,No,Male,0,Yes,No,0
62,103.82,5740.27,2,5,3,Month-to-month,DSL,Yes,Yes,Yes,Female,0,Yes,No,1
4,100.28,7404.8,1,9,4,One year,Fiber optic,Yes,Yes,Yes,Male,0,No,No,0
42,116.09,4185.34,4,4,0,Month-to-month,No,Yes,Yes,Yes,Male,0,No,Yes,1
18,73.59,1024.81,3,5,0,One year,Fiber optic,No,Yes,No,Male,1,Yes,No,0
40,68.85,4272.6,3,9,3,Month-to-month,DSL,No,No,Yes,Female,0,Yes,No,0
39,60.19,1102.3,1,6,1,Month-to-month,DSL,No,Yes,Yes,Male,0,Yes,No,0
14,35.37,4780.7,3,6,0,Two year,Fiber optic,No,No,No,Male,0,No,No,0
32,77.26,3911.7,2,1,2,Month-to-month,No,No,No,Yes,Male,0,Yes,Yes,0
51,47.7,5018.35,1,2,2,Month-to-month,DSL,Yes,Yes,No,Female,0,Yes,Yes,0
38,112.13,179.37,3,5,4,Two year,Fiber optic,No,No,Yes,Male,1,No,Yes,1
23,78.32,1639.24,1,2,0,One year,DSL,Yes,No,Yes,Female,0,Yes,No,0
63,79.28,3981.51,1,1,4,Month-to-month,Fiber optic,No,No,Yes,Female,0,No,Yes,0
15,55.49,7608.98,3,3,0,One year,DSL,Yes,Yes,No,Male,0,No,Yes,0
25,25.2,3130.51,2,4,3,Two year,DSL,No,No,Yes,Female,0,No,No,0
17,23.17,3452.54,3,9,0,One year,DSL,No,Yes,Yes,Female,0,No,No,1
66,62.33,5746.1,4,8,1,Month-to-month,DSL,Yes,Yes,No,Male,0,No,No,1
53,28.46,4869.96,4,2,2,One year,DSL,Yes,Yes,No,Female,1,No,No,0
51,80.68,2461.52,3,2,3,One year,Fiber optic,Yes,No,Yes,Male,0,No,Yes,0
39,108.1,3345.45,2,5,2,Two year,DSL,Yes,No,No,Male,0,No,No,1
51,108.29,1819.83,4,4,4,Month-to-month,DSL,No,No,No,Male,0,No,No,0
70,85.9,7731.57,4,5,3,One year,DSL,Yes,Yes,Yes,Female,0,Yes,Yes,0
6,41.12,1132.01,3,6,1,Month-to-month,No,Yes,No,Yes,Male,0,No,No,1
67,106.3,3037.51,3,2,2,One year,Fiber optic,No,Yes,Yes,Male,1,Yes,No,0
7,108.61,304.13,3,4,0,Two year,Fiber optic,Yes,Yes,Yes,Male,0,Yes,No,0
51,39.67,1852.06,1,7,0,Month-to-month,Fiber optic,Yes,No,No,Female,1,No,Yes,1
42,93.74,6265.72,1,3,0,Month-to-month,DSL,Yes,No,Yes,Male,0,No,No,1
64,48.65,1689.28,1,9,3,One year,DSL,No,Yes,Yes,Female,1,No,No,0
15,100.26,732.5,3,1,1,One year,Fiber optic,Yes,Yes,Yes,Female,0,Yes,Yes,1
29,119.72,3848.18,2,3,1,Month-to-month,Fiber optic,No,No,Yes,Male,0,No,No,0
33,23.0,178.76,4,1,1,One year,No,Yes,No,Yes,Female,0,Yes,No,0
27,109.74,769.65,1,2,2,Two year,No,No,No,No,Male,1,Yes,Yes,0
36,82.26,6480.24,2,3,3,One year,Fiber optic,No,Yes,Yes,Female,0,Yes,No,0
29,117.34,6194.64,3,3,0,One year,Fiber optic,Yes,No,Yes,Male,0,No,Yes,0
38,66.5,7329.6,1,9,2,Month-to-month,DSL,Yes,No,Yes,Male,0,No,No,1
57,104.74,6850.67,3,8,1,Two year,DSL,Yes,Yes,No,Female,0,Yes,No,1
27,26.24,5497.09,2,9,0,Month-to-month,No,Yes,Yes,Yes,Male,0,Yes,No,1
55,53.53,513.43,1,5,3,Month-to-month,DSL,Yes,No,No,Male,0,Yes,Yes,0
33,26.7,6284.5,1,8,4,Month-to-month,No,Yes,No,Yes,Female,0,Yes,Yes,1
68,117.53,6779.54,1,3,1,One year,Fiber optic,No,No,No,Female,0,No,No,1
66,101.7,6412.75,1,8,1,Two year,Fiber optic,No,Yes,No,Female,0,No,No,1
10,105.25,4116.98,2,8,1,Month-to-month,DSL,Yes,No,Yes,Female,1,Yes,No,0
5,113.8,1939.92,1,5,1,Two year,Fiber optic,No,Yes,No,Female,0,Yes,No,0
38,28.51,6778.11,4,4,0,Two year,Fiber optic,Yes,No,Yes,Male,0,Yes,No,0
13,58.56,5844.59,4,2,3,One year,Fiber optic,Yes,Yes,Yes,Male,1,No,Yes,0
31,27.1,7848.01,3,4,2,One year,DSL,No,No,Yes,Male,0,No,No,0
47,41.08,1329.97,1,2,0,Month-to-month,DSL,Yes,No,No,Female,0,Yes,No,0
52,42.94,1882.75,4,4,3,Month-to-month,Fiber optic,No,No,Yes,Female,0,No,Yes,1
56,66.91,1773.21,4,4,2,Two year,DSL,Yes,Yes,No,Male,0,No,Yes,0
15,46.86,6361.06,4,1,1,Month-to-month,Fiber optic,No,Yes,Yes,Female,0,Yes,No,1
29,30.1,1576.57,2,8,3,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,0,No,No,1
8,36.75,626.61,1,6,1,One year,DSL,No,Yes,Yes,Male,0,No,No,1
5,34.73,7988.63,2,5,3,Two year,Fiber optic,No,No,No,Female,0,No,No,1
29,117.31,296.06,2,4,4,One year,DSL,Yes,Yes,Yes,Female,0,No,No,1
47,95.93,6698.43,4,3,1,Month-to-month,Fiber optic,Yes,Yes,Yes,Female,0,No,No,1
68,116.78,2986.4,4,7,1,Month-to-month,DSL,No,No,Yes,Female,0,No,No,1
45,63.97,6748.76,3,1,1,One year,DSL,Yes,Yes,Yes,Female,1,Yes,No,0
2,47.84,4481.5,1,7,0,Month-to-month,DSL,Yes,No,Yes,Female,1,Yes,No,1
27,99.83,7222.89,1,0,2,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,0,Yes,No,1
36,52.63,7416.92,4,9,1,Month-to-month,DSL,Yes,Yes,Yes,Female,1,No,No,1
36,49.94,171.88,4,0,1,One year,DSL,Yes,No,Yes,Male,0,No,No,0
26,43.25,695.76,1,2,0,Month-to-month,Fiber optic,Yes,No,Yes,Male,1,No,Yes,1
43,32.97,2077.83,3,4,0,Month-to-month,DSL,No,No,No,Male,0,Yes,No,0
27,45.65,5387.59,4,5,4,Month-to-month,Fiber optic,No,No,Yes,Female,0,Yes,No,0
69,55.53,7117.35,3,3,3,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,0,No,Yes,0
20,87.4,3733.54,2,6,1,Month-to-month,No,No,Yes,No,Female,0,No,No,1
11,26.26,4895.09,4,6,3,Month-to-month,DSL,Yes,No,Yes,Female,0,No,No,1
38,41.05,1589.15,2,1,0,One year,DSL,No,No,No,Female,0,No,No,0
6,100.9,6459.24,4,1,0,Month-to-month,Fiber optic,Yes,Yes,Yes,Female,0,No,No,0
23,34.69,7741.89,2,1,4,Month-to-month,Fiber optic,Yes,No,No,Female,0,Yes,No,0
47,54.26,2221.93,4,1,2,Month-to-month,DSL,Yes,Yes,No,Male,0,Yes,Yes,0
46,106.47,4009.13,3,8,0,Month-to-month,Fiber optic,No,No,No,Female,0,No,Yes,1
12,35.49,780.32,3,4,1,Month-to-month,Fiber optic,Yes,No,No,Male,0,Yes,No,0
13,28.27,4517.18,3,7,4,Month-to-month,DSL,Yes,No,Yes,Female,0,No,Yes,1
62,68.45,4071.99,2,4,2,Month-to-month,Fiber optic,No,No,Yes,Female,0,Yes,Yes,0
60,50.24,1241.05,3,4,4,Two year,DSL,No,Yes,No,Female,0,No,No,0
43,76.34,3592.32,2,0,0,Month-to-month,No,Yes,No,Yes,Male,0,No,Yes,0
68,100.38,2739.43,4,5,2,Two year,Fiber optic,No,Yes,No,Male,1,No,Yes,1
5,33.71,4222.46,2,3,3,Month-to-month,DSL,No,No,Yes,Male,0,No,No,0
37,78.07,4726.67,4,2,2,Month-to-month,Fiber optic,Yes,No,No,Male,0,Yes,Yes,1
31,70.55,167.12,1,5,1,One year,No,Yes,Yes,Yes,Female,0,No,Yes,0
9,34.41,6111.95,1,1,3,Month-to-month,Fiber optic,Yes,No,Yes,Female,0,No,No,1
51,82.4,5732.81,1,7,3,Month-to-month,DSL,Yes,Yes,No,Male,0,No,No,1
29,47.36,2993.66,2,0,1,Two year,Fiber optic,No,No,Yes,Male,1,No,No,0
40,68.78,518.19,1,8,3,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,0,Yes,Yes,0
41,28.23,6063.97,1,7,0,Month-to-month,DSL,Yes,No,Yes,Male,0,Yes,No,0
11,65.96,7645.88,1,0,2,Month-to-month,DSL,Yes,No,No,Female,0,Yes,No,1
23,50.65,1997.2,4,9,2,Two year,Fiber optic,No,No,No,Female,0,No,No,0
1,102.24,2655.84,3,8,1,Two year,Fiber optic,Yes,No,No,Female,0,Yes,Yes,1
46,25.7,1552.12,2,1,0,Month-to-month,DSL,Yes,No,Yes,Male,1,No,Yes,1
21,61.86,4657.8,1,2,3,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,0,Yes,No,0
36,65.84,1323.25,4,1,2,Two year,Fiber optic,No,Yes,Yes,Female,0,Yes,No,0
54,92.5,2913.93,3,7,2,Month-to-month,DSL,Yes,Yes,Yes,Male,0,No,Yes,0
57,77.43,5606.4,3,1,2,Month-to-month,DSL,Yes,No,Yes,Male,1,Yes,No,0
1,86.72,4524.92,3,9,2,One year,Fiber optic,Yes,No,No,Male,0,No,No,0
63,97.7,3153.05,4,1,4,Month-to-month,Fiber optic,Yes,No,Yes,Female,1,Yes,No,0
54,106.22,3419.97,1,0,1,One year,Fiber optic,No,Yes,Yes,Male,0,No,No,0
55,51.39,4540.68,3,6,3,Two year,DSL,No,Yes,Yes,Female,1,No,No,0
40,73.8,146.33,4,1,3,One year,Fiber optic,Yes,Yes,Yes,Male,1,No,No,0
15,104.01,720.23,4,9,1,Month-to-month,No,No,No,Yes,Male,1,No,No,1
21,118.95,7061.94,2,4,0,Month-to-month,Fiber optic,No,No,Yes,Female,0,Yes,No,1
47,108.95,715.24,4,4,1,Month-to-month,DSL,Yes,Yes,Yes,Female,0,No,No,0
53,57.15,5683.75,3,2,2,Month-to-month,Fiber optic,Yes,Yes,No,Female,0,Yes,No,0
9,39.52,7368.3,3,2,2,Month-to-month,DSL,No,Yes,Yes,Female,0,No,No,0
52,68.94,2238.4,4,2,1,Month-to-month,DSL,Yes,Yes,No,Male,0,No,Yes,1
57,94.16,3026.88,3,5,1,Month-to-month,DSL,Yes,No,Yes,Male,0,No,No,0
26,69.26,4594.48,4,3,3,Month-to-month,DSL,Yes,Yes,No,Female,1,No,Yes,1
41,68.32,7065.5,3,2,3,Month-to-month,Fiber optic,Yes,No,Yes,Female,0,Yes,No,1
35,103.82,7541.05,2,1,4,One year,DSL,No,No,Yes,Male,0,Yes,Yes,0
63,56.14,5942.55,1,2,4,One year,No,Yes,No,Yes,Male,0,No,No,0
25,105.98,784.3,2,3,2,Month-to-month,Fiber optic,No,No,Yes,Male,0,Yes,No,1
38,60.68,5386.32,2,5,4,One year,Fiber optic,Yes,No,No,Female,0,Yes,Yes,0
2,52.82,3341.4,1,3,4,One year,Fiber optic,Yes,No,No,Female,0,No,No,0
7,65.4,3818.54,3,7,0,Month-to-month,Fiber optic,No,Yes,Yes,Male,0,Yes,No,1
34,96.24,488.27,1,2,1,Month-to-month,Fiber optic,No,Yes,Yes,Female,0,No,No,1
